UMAP_1,UMAP_2,dataset_id,tissue_type,FracPixInImgBG,FracImgOfCells,Otsu:CD11c,Otsu:CD21,Otsu:CD4,Otsu:CD8,Otsu:Ki67,M/SD:CD11c,M/SD:CD21,M/SD:CD4,M/SD:CD8,M/SD:Ki67,meanInt:CD11c,meanInt:CD21,meanInt:CD4,meanInt:CD8,meanInt:Ki67
3.3875813,17.634037,c8c457c36df635281dff6e49d86df1d3,small_intestine,0.5725205189131418,0.3516362051563677,221.52846318166624,215.02052928222548,29.669767843696945,41.27158619152591,157.63909312069003,0.1070465061976936,0.1291773495705982,0.3111215714279676,0.2622335361260359,0.1743377191881459,654492675,200675549,97737080,481189166,92995215
3.5150313,17.503288,46626ada002e4db17e3ea614a3d24972,small_intestine,0.4860662533638369,0.5041974181143307,98.15031557724564,117.94060062372031,18.15149708327359,35.06718300885629,114.31078326545791,0.1642148135567511,0.176713843993644,0.3978320220836185,0.2895837519347394,0.181402722893365,584300062,253526432,227458252,928981532,202351968
6.4728847,16.251108,4b5a93e363f3b3ebd3bd3fd69df55000,small_intestine,0.25349271476074847,0.3263702338853589,32.57346166770736,86.98297193645372,18.623226800991205,44.3609649913958,101.67073020519337,0.3310889149856444,0.2548340466585294,0.5014317604000452,0.2594975687021258,0.2447748509761163,68626354,66290213,60902583,84702067,66420688
7.2884493,16.450613,ac8806109eb5cebc51a4c6f4c7872d1b,large_intestine,0.541403309141969,0.16063520147148272,35.09837763314735,57.359017922295976,8.470799823605656,24.72399429616392,89.9289680451852,0.3108598308954355,0.3182801756049666,0.609141483619094,0.4822700753546928,0.2363329738473451,66511167,60733588,46687198,56268268,67235702
7.4626274,15.586944,32d27420e3531ab6bbf5f714e8dd6462,large_intestine,0.45824145414409984,0.33798586630280997,15.437188099927566,7.302970192358243,7.2542660946325395,11.887028763978051,58.05515157082136,0.477990966085641,0.6325194468836929,0.6658378013931683,0.5015570969892309,0.2800755351190517,80293520,75105729,85352344,79190095,83736261
4.974559,17.23968,420954d18a53af4fb9d3a44bdf7e7d1b,large_intestine,0.48592334732423925,0.1929110703043022,64.01159887637102,167.85648465709522,33.69542862936764,133.41161884178462,175.44629020895283,0.2735752123048298,0.2462203451166778,0.2524335625873723,0.1489530487796174,0.1798572997066868,109669506,80856391,112710379,157547771,114953878
7.6105866,16.868193,0511b3adf57a06d72d5ebe2204d076fe,small_intestine,0.5000023201984276,0.20690657140456856,49.59728717171016,10.58402063871757,12.096607856694842,41.034598175765126,6.12401828608355,0.3581921228216078,0.4928506154460361,0.4485248529385667,0.3680275803654844,0.7068057042807843,55602845,61594848,55042084,63993224,48852479
6.3265324,17.714106,c72e0dfaf5099bb7cc2373c336763daf,small_intestine,0.6725013802592663,0.23689485064448895,11.543783758377549,101.84267647595868,13.289696351780522,35.748310218397364,89.65610153547979,0.4994940440102743,0.2221188354181635,0.4632590946686387,0.2823329047510077,0.2172743184583124,68367848,71920944,70579229,109432689,130181902
6.8460712,17.656954,c055073b856584f5ddce4d491d7f8e46,large_intestine,0.591925822881245,0.18998340655484938,18.43347185105197,119.23618871299462,11.754497881307667,39.659885709284445,77.49970216010833,0.4252646814251126,0.2662979613360761,0.4795243240823438,0.3376342584748329,0.2373374750270655,74765083,70823135,64581012,58639275,89220104
3.984762,16.67887,96b09647372281edde58c8328c0fcd50,small_intestine,0.6785575222472107,0.2507550398035965,28.383981875715456,203.6316807911815,24.18855066218367,60.86943771421115,103.59993935189308,0.3687052974678508,0.1311094534161434,0.340130829143126,0.2094345236969932,0.1943541099620201,167313433,231769192,183394386,647276172,366274541
8.141536,16.18755,9d8677a799797c76a8205988cd3888b2,large_intestine,0.5536396727399849,0.12401336418735494,307.7481977186343,6.411222972898923,10.718616230428184,15.619820863263667,132.85409305651652,0.0956653881206369,0.6365153405717566,0.6868984942460292,0.5284193128282717,0.1662889237725051,826831331,57627301,68065272,75141008,137596595
7.368109,14.481134,4514230f7473a496201a4e45c4ff9568,thymus,0.17398851803274593,0.4320674692403105,16.139395493816433,4.908293819560356,10.6481471295713,12.255382073788738,5.8131603207997005,0.4257582045140525,0.8658605512124669,0.6612196069285649,0.616346787024301,0.7935076528519668,147892171,107578353,133264378,139287567,114427490
6.8642583,16.87861,14edde4cfa211baf019c054b3f1ba1c1,small_intestine,0.4881328997899289,0.2583290411373169,41.44788943156957,94.97968468024088,16.020138644283374,38.71394322330967,106.25603442352433,0.3340175947596862,0.2625382971982266,0.4427654706462188,0.3567172593815726,0.2445329542150071,59958654,67295485,54280548,65769251,59414087
6.248216,18.143934,35ffbad7d81bcc0c3ebf298406e3e712,lymph_nodes,0.6592684346854625,0.26306049075835813,830.0841168592758,209.6309901657476,21.401060638849494,30.79196171717914,254.97568568308537,0.5106182898494306,0.1386891458853422,0.4306691144660591,0.301703817254622,0.1485247363499076,108260046,140762605,380045363,308227991,98836295
3.0423746,16.59893,eac48e19cf655a2046d56591ed190ccc,large_intestine,0.8322268774291895,0.17684664170213305,3341.006817387335,29970.302921569302,1486.937002730814,4564.111457904797,639.4420377699857,0.0334293858588479,0.0187443771229205,0.0501787125318536,0.0271896805815233,0.0700267147263385,235033171,183558558,288740382,261810611,614647061
7.1312275,14.045851,053544cd63125fc25f6a71a8f444bafc,thymus,0.32608800571456065,0.5667691741539854,6.869777686137807,71.50921224363093,11.223269873937742,7.749106206477582,14.670159419306428,0.9340617689530384,0.6586011400393273,0.9012376014179512,0.7961737715788465,0.5717786510318593,134913800,131129935,145019041,137732323,130348531
